incident_id,incident_label,regulation_id,regulation_label,classification,cosine,linked_by_threshold
CASE_bsi-lockbit-ransomware-2023,BSI-LOCKBIT-RANSOMWARE-2023 - Pada 8 Mei 2023 layanan ATM dan cabang BSI lu...,Council_of_Europe_Framework_Convention_on_AI_CETS225_Article_2,Council_of_Europe_Framework_Convention_on_AI_CETS225 - Article 2,Intl: Binding Law,0.0684,0
CASE_bank-indonesia-conti-ransomware-2022,BANK-INDONESIA-CONTI-RANSOMWARE-2022 - Bank Indonesia mengonfirmasi serangan ransomw...,Council_of_Europe_Framework_Convention_on_AI_CETS225_Article_2,Council_of_Europe_Framework_Convention_on_AI_CETS225 - Article 2,Intl: Binding Law,0.0482,0
CASE_indodax-crypto-hack-2024,INDODAX-CRYPTO-HACK-2024 - Pada 11 September 2024 penyerang menguras hot...,Council_of_Europe_Framework_Convention_on_AI_CETS225_Article_2,Council_of_Europe_Framework_Convention_on_AI_CETS225 - Article 2,Intl: Binding Law,-0.0280,0
CASE_kreditplus-data-leak-2020,KREDITPLUS-DATA-LEAK-2020 - Data ~896.169 nasabah KreditPlus dijual di Ra...,Council_of_Europe_Framework_Convention_on_AI_CETS225_Article_2,Council_of_Europe_Framework_Convention_on_AI_CETS225 - Article 2,Intl: Binding Law,-0.0002,0
CASE_cermati-data-breach-2020,CERMATI-DATA-BREACH-2020 - Data 2;9 juta pengguna Cermati dijual ~USD 2....,Council_of_Europe_Framework_Convention_on_AI_CETS225_Article_2,Council_of_Europe_Framework_Convention_on_AI_CETS225 - Article 2,Intl: Binding Law,-0.0343,0
CASE_bri-life-data-leak-2021,BRI-LIFE-DATA-LEAK-2021 - Akhir Juli 2021 pengguna RaidForums menawarka...,Council_of_Europe_Framework_Convention_on_AI_CETS225_Article_2,Council_of_Europe_Framework_Convention_on_AI_CETS225 - Article 2,Intl: Binding Law,-0.0257,0
CASE_adakami-pinjol-conduct-2023,ADAKAMI-PINJOL-CONDUCT-2023 - Pada September 2023; laporan viral menuding s...,Council_of_Europe_Framework_Convention_on_AI_CETS225_Article_2,Council_of_Europe_Framework_Convention_on_AI_CETS225 - Article 2,Intl: Binding Law,0.1366,0
CASE_bank-jatim-bifast-fraud-2024,BANK-JATIM-BIFAST-FRAUD-2024 - Pada 22 Juni 2024; antara ~12.22-15.38 WIB; 4...,Council_of_Europe_Framework_Convention_on_AI_CETS225_Article_2,Council_of_Europe_Framework_Convention_on_AI_CETS225 - Article 2,Intl: Binding Law,-0.0245,0
CASE_bank-dki-bifast-breach-2025,BANK-DKI-BIFAST-BREACH-2025 - Pada 29 Maret 2025 sistem pembayaran Bank DKI...,Council_of_Europe_Framework_Convention_on_AI_CETS225_Article_2,Council_of_Europe_Framework_Convention_on_AI_CETS225 - Article 2,Intl: Binding Law,0.0089,0
CASE_tokopedia-91m-2020,TOKOPEDIA-91M-2020 - Maret 2020 basis data pengguna Tokopedia dicu...,Council_of_Europe_Framework_Convention_on_AI_CETS225_Article_2,Council_of_Europe_Framework_Convention_on_AI_CETS225 - Article 2,Intl: Binding Law,0.0243,0
CASE_bukalapak-13m-2019,BUKALAPAK-13M-2019 - Maret 2019 Gnosticplayers menjual batch keemp...,Council_of_Europe_Framework_Convention_on_AI_CETS225_Article_2,Council_of_Europe_Framework_Convention_on_AI_CETS225 - Article 2,Intl: Binding Law,-0.0054,0
CASE_bhinneka-1-2m-2020,BHINNEKA-1-2M-2020 - Bhinneka.com dibobol pada 27 Januari 2020; Ju...,Council_of_Europe_Framework_Convention_on_AI_CETS225_Article_2,Council_of_Europe_Framework_Convention_on_AI_CETS225 - Article 2,Intl: Binding Law,0.0371,0
CASE_lazada-redmart-1-1m-2020,LAZADA-REDMART-1-1M-2020 - Pada 29 Oktober 2020 Lazada menemukan akses i...,Council_of_Europe_Framework_Convention_on_AI_CETS225_Article_2,Council_of_Europe_Framework_Convention_on_AI_CETS225 - Article 2,Intl: Binding Law,0.0407,0
CASE_indihome-browsing-26m-2022,INDIHOME-BROWSING-26M-2022 - Agustus 2022 'Bjorka' memuat dataset 26.730.7...,Council_of_Europe_Framework_Convention_on_AI_CETS225_Article_2,Council_of_Europe_Framework_Convention_on_AI_CETS225 - Article 2,Intl: Binding Law,0.0993,0
CASE_myindihome-35m-2023,MYINDIHOME-35M-2023 - Awal Juli 2023 'Bjorka' menawarkan ~35;9 juta...,Council_of_Europe_Framework_Convention_on_AI_CETS225_Article_2,Council_of_Europe_Framework_Convention_on_AI_CETS225 - Article 2,Intl: Binding Law,0.0835,0
CASE_pln-customer-data-leak-2022,PLN-CUSTOMER-DATA-LEAK-2022 - Agustus 2022 data >17 juta pelanggan PLN dita...,Council_of_Europe_Framework_Convention_on_AI_CETS225_Article_2,Council_of_Europe_Framework_Convention_on_AI_CETS225 - Article 2,Intl: Binding Law,0.0643,0
CASE_mypertamina-44m-2022,MYPERTAMINA-44M-2022 - November 2022 dataset yang diatribusikan ke M...,Council_of_Europe_Framework_Convention_on_AI_CETS225_Article_2,Council_of_Europe_Framework_Convention_on_AI_CETS225 - Article 2,Intl: Binding Law,-0.0350,0
CASE_jasamarga-jmto-breach-2022,JASAMARGA-JMTO-BREACH-2022 - Pada 25 Agustus 2022 DESORDEN mengumumkan mem...,Council_of_Europe_Framework_Convention_on_AI_CETS225_Article_2,Council_of_Europe_Framework_Convention_on_AI_CETS225 - Article 2,Intl: Binding Law,0.0526,0
CASE_kai-stormous-ransomware-2024,KAI-STORMOUS-RANSOMWARE-2024 - Januari 2024 Stormous mengklaim membobol PT K...,Council_of_Europe_Framework_Convention_on_AI_CETS225_Article_2,Council_of_Europe_Framework_Convention_on_AI_CETS225 - Article 2,Intl: Binding Law,0.0624,0
